group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
latency,,25,1000,1024,4096,true,2186,1588,3792,33561340,3296633,729517,21113,34298162,3317746,
latency,,25,1000,1024,4096,true,2213,1745,3974,33561340,3296645,729517,21113,34298162,3317758,
latency,,25,1000,1024,4096,true,2027,1623,3665,33561340,3296633,729517,21113,34298162,3317746,
latency,,25,1000,1024,4096,true,2038,1607,3661,33561340,3296621,729517,21101,34298162,3317722,
latency,,25,1000,1024,4096,true,1920,1563,3497,33561340,3296621,729517,21101,34298162,3317722,
latency,,25,1000,1024,4096,true,1984,1575,3575,33561340,3296633,729517,21113,34298162,3317746,
latency,,25,1000,1024,4096,true,2033,1621,3672,33561340,3296633,728656,21113,34298162,3317746,
latency,,25,1000,1024,4096,true,1994,1655,3666,33561340,3296621,729517,21101,34298162,3317722,
latency,,50,1000,1024,4096,true,2383,2121,4534,33561340,3296633,727795,21113,34298162,3317746,
latency,,50,1000,1024,4096,true,2582,2063,4673,33561340,3296633,729517,21113,34298162,3317746,
latency,,50,1000,1024,4096,true,2505,2084,4616,33561364,3296645,729517,21101,34298186,3317746,
latency,,50,1000,1024,4096,true,2363,2126,4519,33561340,3296621,729517,21101,34298162,3317722,
latency,,50,1000,1024,4096,true,2378,2119,4524,33561340,3296621,729517,21113,34298162,3317734,
latency,,50,1000,1024,4096,true,2612,2146,4788,33561340,3296645,729517,21113,34298162,3317758,
latency,,50,1000,1024,4096,true,2311,2075,4415,33561340,3296621,729517,21113,34298162,3317734,
latency,,50,1000,1024,4096,true,2530,2067,4625,33561340,3296645,729517,21101,34298162,3317746,
latency,,50,1000,1024,4096,true,2567,2181,4776,33561340,3296621,729517,21113,34298162,3317734,
latency,,50,1000,1024,4096,true,2637,2195,4865,33561340,3296633,729517,21113,34298162,3317746,
latency,,100,1000,1024,4096,true,3304,3115,6472,33561340,3296657,729529,21113,34298174,3317770,
latency,,100,1000,1024,4096,true,3130,3155,6338,33561328,3296645,728668,21101,34298162,3317746,
latency,,100,1000,1024,4096,true,3059,3091,6202,33561328,3296645,729517,21101,34298150,3317746,
latency,,100,1000,1024,4096,true,3110,3222,6385,33561352,3296645,729529,21101,34298186,3317746,
latency,,100,1000,1024,4096,true,3029,3081,6163,33561364,3296633,729517,21101,34298186,3317734,
latency,,100,1000,1024,4096,true,3262,3093,6409,33561340,3296645,729517,21101,34298162,3317746,
latency,,100,1000,1024,4096,true,3081,3158,6294,33561340,3296645,729529,21113,34298174,3317758,
latency,,100,1000,1024,4096,true,2981,3185,6219,33561328,3296645,729529,21101,34298162,3317746,
latency,,100,1000,1024,4096,true,3277,3065,6396,33561376,3296657,729517,21101,34298198,3317758,
latency,,100,1000,1024,4096,true,3369,3209,6629,33561376,3296657,729529,21101,34298210,3317758,
latency,,200,1000,1024,4096,true,4609,5174,9886,33561364,3296633,729517,21101,34298186,3317734,
latency,,200,1000,1024,4096,true,4678,5060,9840,33561340,3296645,729517,21101,34298162,3317746,
latency,,200,1000,1024,4096,true,4574,5079,9759,33561340,3296633,729529,21101,34298174,3317734,
latency,,200,1000,1024,4096,true,4813,5190,10113,33561364,3296645,729529,21101,34298198,3317746,
latency,,200,1000,1024,4096,true,4757,5106,9966,33561364,3296645,729517,21101,34298186,3317746,
latency,,200,1000,1024,4096,true,4697,5136,9943,33561364,3296645,729517,21101,34298186,3317746,
latency,,200,1000,1024,4096,true,4825,5044,9979,33561352,3296645,729517,21101,34298174,3317746,
latency,,200,1000,1024,4096,true,4482,5226,9811,33561364,3296633,729529,21101,34298198,3317734,
latency,,200,1000,1024,4096,true,4817,5152,10073,33561352,3296657,729529,21113,34298186,3317770,
latency,,200,1000,1024,4096,true,4753,5158,10012,33561352,3296645,729517,21101,34298174,3317746,
