group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_generate_zk_proof,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes,time_zk_verify,time_verify
download_size,,10,200,2048,16384,true,3874,1455,6407,11737,46700872,3360897,1292286,22153,49036963,4183814,,6387,7892
download_size,,10,200,2048,16384,true,3922,1411,6422,11755,46700920,3360945,1293147,22153,49037011,4183862,,6402,7869
download_size,,10,200,2048,32768,true,3804,1433,13265,18503,46700896,3360909,1310547,22153,49969895,4247886,,13217,14713
download_size,,10,200,2048,32768,true,3890,1383,14416,19691,46700920,3360969,1310547,22153,49969919,4247946,,14344,15831
download_size,,10,200,2048,32768,true,3948,1458,12895,18302,46700872,3360897,1310547,22153,49969871,4247874,,12835,14421
download_size,,10,200,2048,32768,true,4018,1595,13588,19202,46700896,3360897,1310547,22153,49969895,4247874,,13539,15209
download_size,,10,200,2048,32768,true,3908,1423,13097,18429,46700872,3360909,1310547,22153,49969871,4247886,,13036,14575
download_size,,10,200,2048,32768,true,3905,1390,13173,18469,46700920,3360849,1310547,22153,49969919,4247838,,13125,14625
download_size,,10,200,2048,32768,true,4012,1442,12960,18415,46700896,3360921,1308825,22153,49969895,4247898,,12906,14412
download_size,,10,200,2048,32768,true,4043,1581,13526,19152,46700896,3360897,1309686,22153,49969895,4247874,,13448,15167
download_size,,10,200,2048,32768,true,3928,1450,14792,20171,46700920,3360921,1310547,22153,49969919,4247898,,14740,16262
download_size,,10,200,2048,32768,true,4201,1575,14430,20207,46700908,3360921,1310547,22153,49969907,4247898,,14366,16070
download_size,,10,200,2048,65536,true,4148,1503,27248,32900,46700944,3360873,1345347,22153,51838729,5112782,,26987,28845
download_size,,10,200,2048,65536,true,4020,1529,26087,31638,46700848,3360885,1342764,22153,51838633,5112794,,25877,27698
download_size,,10,200,2048,65536,true,3924,1635,26788,32348,46700896,3360909,1345347,22153,51838693,5112842,,26589,28478
download_size,,10,200,2048,65536,true,3970,1506,26922,32399,46700896,3360885,1345347,22153,51838705,5112818,,26690,28454
download_size,,10,200,2048,65536,true,3941,1561,26235,31738,46700920,3360849,1345347,22153,51838705,5112758,,25999,27876
download_size,,10,200,2048,65536,true,3909,1543,26109,31561,46700896,3360885,1345347,22153,51838681,5112794,,25897,27687
download_size,,10,200,2048,65536,true,4395,1589,27240,33225,46700896,3360957,1345347,22141,51838681,5112854,,26979,28911
download_size,,10,200,2048,65536,true,3973,1555,26346,31875,46700872,3360873,1344486,22153,51838657,5112782,,26136,28002
download_size,,10,200,2048,65536,true,3859,1613,26604,32078,46700920,3360897,1345347,22153,51838705,5112806,,26322,28264
download_size,,10,200,2048,65536,true,3888,1478,25908,31275,46700896,3360897,1345347,22153,51838681,5112806,,25647,27418
latency,,10,1000,1024,4096,true,2022,1385,1534,4942,33561340,3296657,729529,21101,34589627,3990330,,1526,2891
latency,,10,1000,1024,4096,true,1916,1426,1619,4963,33561340,3296657,728668,21101,34589627,3990330,,1603,3014
latency,,10,1000,1024,4096,true,1879,1281,1706,4867,33561340,3296633,729529,21101,34589615,3990306,,1697,2959
latency,,10,1000,1024,4096,true,1882,1300,1601,4784,33561340,3296621,729529,21101,34589627,3990294,,1593,2876
latency,,10,1000,1024,4096,true,1899,1218,1617,4735,33561340,3296633,729529,21113,34589627,3990318,,1609,2811
latency,,10,1000,1024,4096,true,1805,1340,1765,4911,33561340,3296645,729529,21113,34589627,3990330,,1757,3082
latency,,10,1000,1024,4096,true,1946,1310,1671,4927,33561328,3296645,728668,21113,34589615,3990330,,1660,2952
latency,,10,1000,1024,4096,true,1838,1308,1728,4875,33561340,3296633,729529,21101,34589627,3990306,,1714,3010
latency,,10,1000,1024,4096,true,1903,1397,1663,4965,33561340,3296633,729529,21113,34589615,3990318,,1656,3032
latency,,10,1000,1024,4096,true,1820,1312,1638,4770,33561340,3296633,729529,21113,34589627,3990318,,1630,2919
latency,,25,1000,1024,4096,true,1999,1602,1651,5253,33561340,3296633,729517,21113,34589615,3990318,,1637,3220
latency,,25,1000,1024,4096,true,1938,1603,1833,5375,33561340,3296621,728656,21101,34589603,3990294,,1819,3399
latency,,25,1000,1024,4096,true,2228,1651,1710,5590,33561340,3296633,729517,21101,34589615,3990306,,1695,3326
latency,,25,1000,1024,4096,true,2025,1623,1654,5303,33561328,3296633,729517,21101,34589603,3990306,,1643,3245
latency,,25,1000,1024,4096,true,2021,1641,1656,5318,33561340,3296633,729517,21101,34589615,3990306,,1637,3258
latency,,25,1000,1024,4096,true,1901,1628,1632,5162,33561340,3296609,729517,21113,34589615,3990294,,1615,3225
latency,,25,1000,1024,4096,true,1910,1598,1664,5173,33561340,3296621,729517,21101,34589615,3990294,,1647,3222
latency,,25,1000,1024,4096,true,1957,1701,1653,5312,33561340,3296633,729517,21101,34589615,3990306,,1639,3321
latency,,25,1000,1024,4096,true,2083,1634,1635,5353,33561340,3296657,729517,21113,34589615,3990342,,1617,3237
latency,,25,1000,1024,4096,true,1974,1578,1780,5333,33561340,3296621,728656,21113,34589615,3990306,,1763,3328
latency,,50,1000,1024,4096,true,2283,2140,1723,6148,33561340,3296621,728656,21113,34589615,3990306,,1696,3814
latency,,50,1000,1024,4096,true,2348,2144,1691,6183,33561340,3296633,729517,21101,34589615,3990306,,1669,3782
latency,,50,1000,1024,4096,true,2345,2087,1773,6206,33561328,3296621,729517,21113,34589603,3990306,,1749,3806
latency,,50,1000,1024,4096,true,2424,2190,1721,6337,33561340,3296633,729517,21101,34589615,3990306,,1696,3864
latency,,50,1000,1024,4096,true,2198,2122,1850,6170,33561328,3296609,729517,21113,34589603,3990294,,1822,3924
latency,,50,1000,1024,4096,true,2558,2126,1767,6452,33561352,3296657,728656,21101,34589615,3990330,,1740,3837
latency,,50,1000,1024,4096,true,2296,2183,1746,6226,33561340,3296621,729517,21101,34589603,3990294,,1719,3874
latency,,50,1000,1024,4096,true,2209,2106,1662,5979,33561340,3296621,729517,21101,34589615,3990294,,1635,3718
latency,,50,1000,1024,4096,true,2221,2110,1688,6019,33561328,3296621,729517,21101,34589603,3990294,,1662,3752
latency,,50,1000,1024,4096,true,2303,2093,1755,6152,33561340,3296645,729517,21101,34589603,3990318,,1730,3803
latency,,100,1000,1024,4096,true,3143,3147,1883,8174,33561364,3296657,729517,21101,34589639,3990330,,1830,4955
latency,,100,1000,1024,4096,true,3055,3169,1891,8116,33561352,3296657,729517,21101,34589627,3990330,,1834,4983
latency,,100,1000,1024,4096,true,3153,3035,1875,8064,33561340,3296645,729517,21101,34589615,3990318,,1826,4842
latency,,100,1000,1024,4096,true,3019,3168,1869,8056,33561364,3296645,728656,21113,34589639,3990330,,1816,4965
latency,,100,1000,1024,4096,true,2966,3166,1858,7992,33561376,3296645,729517,21101,34589651,3990318,,1811,4956
latency,,100,1000,1024,4096,true,3288,3137,1905,8331,33561388,3296657,728656,21113,34589663,3990342,,1851,4967
latency,,100,1000,1024,4096,true,3061,3105,1910,8077,33561328,3296633,729517,21101,34589603,3990306,,1852,4942
latency,,100,1000,1024,4096,true,2970,3159,1933,8062,33561364,3296633,729529,21113,34589639,3990318,,1883,5018
latency,,100,1000,1024,4096,true,3114,3141,1876,8133,33561364,3296657,729529,21101,34589651,3990330,,1827,4942
latency,,100,1000,1024,4096,true,3033,3141,1940,8115,33561376,3296645,728656,21101,34589651,3990318,,1890,5010
latency,,200,1000,1024,4096,true,4488,5255,2196,11940,33561352,3296633,729517,21101,34589651,3990330,,2084,7329
latency,,200,1000,1024,4096,true,4664,5181,2137,11983,33561340,3296645,729517,21101,34589639,3990342,,2034,7197
latency,,200,1000,1024,4096,true,4608,5041,2147,11797,33561352,3296645,729517,21113,34589639,3990354,,2042,7066
latency,,200,1000,1024,4096,true,4714,5229,2130,12075,33561352,3296633,729529,21101,34589663,3990330,,2034,7237
latency,,200,1000,1024,4096,true,4842,5147,2201,12192,33561352,3296645,726934,21101,34589651,3990342,,2102,7225
latency,,200,1000,1024,4096,true,4555,5148,2121,11825,33561364,3296633,729517,21101,34589663,3990330,,2015,7143
latency,,200,1000,1024,4096,true,4906,5468,2137,12512,33561364,3296645,728692,21113,34589675,3990342,,2038,7476
latency,,200,1000,1024,4096,true,4663,5137,2143,11945,33561364,3296645,728668,21113,34589675,3990354,,2035,7159
latency,,200,1000,1024,4096,true,4826,5169,2134,12130,33561352,3296645,728656,21101,34589651,3990342,,2034,7178
latency,,200,1000,1024,4096,true,4566,5381,2155,12103,33561352,3296633,728668,21101,34589663,3990330,,2044,7412
