group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_generate_zk_proof,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes,time_zk_verify,time_verify
latency,,10,1000,1024,4096,true,651,754,461,1866,33561352,3296657,729517,21101,34589615,3990330,,450,1238
latency,,10,1000,1024,4096,true,642,751,428,1822,33561328,3296657,729517,21101,34589591,3990330,,427,1211
latency,,10,1000,1024,4096,true,682,769,417,1869,33561364,3296645,729517,21101,34589627,3990318,,416,1211
latency,,25,1000,1024,4096,true,2118,1138,578,3835,33561328,3296633,729517,21101,34589591,3990306,,569,1746
latency,,25,1000,1024,4096,true,995,1175,471,2642,33561352,3296633,729529,21113,34589627,3990318,,458,1669
latency,,25,1000,1024,4096,true,1021,1179,490,2690,33561352,3296633,729517,21101,34589615,3990306,,469,1680
latency,,25,1000,1024,4096,true,946,1162,480,2589,33561328,3296633,729517,21113,34589591,3990318,,473,1666
latency,,25,1000,1024,4096,true,958,1174,484,2617,33561340,3296645,729517,21113,34589603,3990330,,470,1666
latency,,25,1000,1024,4096,true,998,1189,487,2674,33561328,3296633,726934,21113,34589591,3990318,,487,1705
latency,,25,1000,1024,4096,true,935,1229,489,2654,33561340,3296633,729517,21113,34589603,3990318,,474,1731
latency,,25,1000,1024,4096,true,959,1163,454,2577,33561340,3296633,729517,21113,34589603,3990318,,442,1629
latency,,25,1000,1024,4096,true,958,1172,467,2598,33561316,3296657,726934,21101,34589579,3990330,,459,1654
latency,,25,1000,1024,4096,true,1068,1181,490,2739,33561328,3296633,729529,21113,34589603,3990318,,473,1686
latency,,50,1000,1024,4096,true,1747,1725,566,4039,33561352,3296633,729517,21113,34589615,3990318,,565,2307
latency,,50,1000,1024,4096,true,1707,1780,582,4071,33561340,3296633,729517,21113,34589603,3990318,,575,2376
latency,,50,1000,1024,4096,true,1697,1736,568,4002,33561352,3296633,729517,21101,34589615,3990306,,560,2314
latency,,50,1000,1024,4096,true,1718,1767,537,4024,33561352,3296633,729517,21113,34589615,3990318,,523,2312
latency,,50,1000,1024,4096,true,1778,1772,582,4133,33561352,3296633,729517,21113,34589615,3990318,,573,2365
latency,,50,1000,1024,4096,true,1701,1749,554,4005,33561352,3296657,729517,21113,34589615,3990342,,543,2313
latency,,50,1000,1024,4096,true,1748,1777,573,4099,33561352,3296633,729517,21113,34589615,3990318,,557,2353
latency,,50,1000,1024,4096,true,1699,1713,560,3972,33561340,3296633,729517,21101,34589603,3990306,,554,2288
latency,,50,1000,1024,4096,true,1720,1766,560,4047,33561328,3296633,729517,21101,34589591,3990306,,548,2335
