group,name,latency,bandwidth,upload_size,download_size,defer_decryption,time_preprocess,time_online,time_total,uploaded_preprocess,downloaded_preprocess,uploaded_online,downloaded_online,uploaded_total,downloaded_total,heap_max_bytes
latency,,100,1000,1024,4096,true,4578,2766,7355,48342616,3036641,1009909,328482,49369306,3365123,
latency,,100,1000,1024,4096,true,4489,2751,7259,48342616,3036629,1009909,328470,49369306,3365099,
latency,,100,1000,1024,4096,true,4585,2737,7334,48342556,3036617,1009909,328470,49369246,3365087,
latency,,100,1000,1024,4096,true,4399,2721,7131,48342616,3036617,1009909,328470,49369306,3365087,
latency,,100,1000,1024,4096,true,4447,2788,7246,48342580,3036629,1009909,328470,49369270,3365099,
latency,,100,1000,1024,4096,true,4589,2726,7330,48342604,3036629,1009909,328470,49369294,3365099,
latency,,200,1000,1024,4096,true,8378,4762,13153,48342616,3036641,1009933,328494,49369330,3365135,
latency,,200,1000,1024,4096,true,7830,4941,12786,48342616,3036617,1009933,328494,49369330,3365111,
latency,,200,1000,1024,4096,true,8361,4736,13110,48342592,3036617,1009933,328494,49369306,3365111,
latency,,200,1000,1024,4096,true,8410,4730,13151,48342592,3036617,1009933,328494,49369306,3365111,
latency,,200,1000,1024,4096,true,7834,4739,12583,48342592,3036617,1009933,328494,49369306,3365111,
latency,,200,1000,1024,4096,true,8330,4724,13065,48342604,3036629,1009933,328494,49369318,3365123,
latency,,200,1000,1024,4096,true,8147,4741,12901,48342616,3036617,1009933,328494,49369330,3365111,
latency,,200,1000,1024,4096,true,8222,4732,12962,48342592,3036617,1009933,328494,49369306,3365111,
latency,,200,1000,1024,4096,true,8395,4785,13193,48342532,3036617,1009933,328494,49369246,3365111,
latency,,200,1000,1024,4096,true,8520,4730,13261,48342604,3036617,1009933,328506,49369318,3365123,
